d_1;score;Hotels;distance_from_sea;Companies;Houses;mun_category;Airports;Finance;CO2(tons/km^2);Evcs;Gas
ΔΗΜΟΣ ΤΗΛΟΥ;2;245;416;73;2;1;1;4088.566;86.17029364;0;2.170
ΔΗΜΟΣ ΧΑΛΚΗΣ;2;86;710;46;1;1;1;2612.2917;94.86482708;0;2.047
ΔΗΜΟΣ ΤΗΝΟΥ;1;2284;2998;1228;55;2;1;47257.234;456.9680888;6;2.017
ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ;1;10871;10366;15589;3726;3;2;688239.4;4938.87495;158;1.852
ΔΗΜΟΣ ΑΡΧΑΝΩΝ - ΑΣΤΕΡΟΥΣΙΩΝ;1;56;14499;1408;6;2;0;62199.01;323.7091129;14;1.979
ΔΗΜΟΣ ΒΙΑΝΝΟΥ;1;152;6088;379;8;1;0;16768.312;132.6453733;5;1.990
ΔΗΜΟΣ ΓΟΡΤΥΝΑΣ;3;496;12502;1226;3;2;0;54168.566;204.4318237;14;1.989
ΔΗΜΟΣ ΜΑΛΕΒΙΖΙΟΥ;3;11976;7169;2266;175;2;0;100089.03;601.6272025;23;1.919
ΔΗΜΟΣ ΦΑΙΣΤΟΥ;2;837;7349;2111;59;2;0;93263.54;398.268732;23;1.920
ΔΗΜΟΣ ΧΕΡΣΟΝΗΣΟΥ;2;53756;5626;2396;168;2;0;105837.83;682.189612;21;1.895
ΔΗΜΟΣ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ;2;19285;7281;2354;464;2;1;104702.836;356.9573786;21;1.835
ΔΗΜΟΣ ΙΕΡΑΠΕΤΡΑΣ;1;5568;5709;2306;268;2;1;102654.414;323.0267387;25;1.895
ΔΗΜΟΣ ΜΙΝΩΑ ΠΕΔΙΑΔΑΣ;4;498;16722;1246;9;2;0;55043.137;242.5093831;15;1.910
ΔΗΜΟΣ ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ;5;100;14548;199;0;2;0;8881.687;118.8486138;3;1.918
ΔΗΜΟΣ ΣΗΤΕΙΑΣ;8;1393;7475;1770;332;2;2;78780.75;219.0347323;21;1.918
ΔΗΜΟΣ ΡΕΘΥΜΝΗΣ;8;24679;5761;5108;861;2;1;216254.5;991.7584484;48;1.859
ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ;8;2375;3924;660;9;2;0;27962.736;141.3970285;7;1.929
ΔΗΜΟΣ ΑΜΑΡΙΟΥ;8;100;12560;514;1;2;0;21794.145;142.6601858;6;1.935
ΔΗΜΟΣ ΑΝΩΓΕΙΩΝ;5;20;18355;205;1;1;0;8706.773;139.6645794;3;1.938
ΔΗΜΟΣ ΜΥΛΟΠΟΤΑΜΟΥ;5;7042;7184;1182;12;2;0;50102.816;259.6837996;12;1.938
ΔΗΜΟΣ ΧΑΝΙΩΝ;6;21792;1669;10660;1637;3;2;430075.75;2316.544481;94;1.853
ΔΗΜΟΣ ΑΠΟΚΟΡΩΝΟΥ;4;10660;5831;1133;4;2;0;45753.316;274.1933798;7;1.910
ΔΗΜΟΣ ΚΑΝΤΑΝΟΥ - ΣΕΛΙΝΟΥ;4;459;6441;474;7;2;1;19166.562;96.19719283;5;1.910
ΔΗΜΟΣ ΚΙΣΣΑΜΟΥ;4;1107;5192;1023;23;2;2;41326.082;229.0723355;9;1.938
ΔΗΜΟΣ ΓΑΥΔΟΥ;7;0;2389;14;0;2;1;586.9299;33.1937148;1;1.938
ΔΗΜΟΣ ΤΟΠΕΙΡΟΥ;7;0;13067;537;1;2;0;37005.652;146.4786084;10;1.839
ΔΗΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ;7;12008;210;25301;17380;4;2;934564.06;103443.1635;303;1.759
ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ;7;660;3619;3618;1150;2;0;133665.94;2140.173517;43;1.797
ΔΗΜΟΣ ΘΕΡΜΗΣ;7;1118;10283;4397;192;2;0;162451.3;908.0687032;42;1.769
ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ;9;0;1161;3954;2474;4;0;146087.94;31838.45085;46;1.839
ΔΗΜΟΣ ΔΕΛΤΑ;9;166;6190;3632;690;4;0;134188.92;921.2677732;40;1.733
ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ;9;108;792;7342;5328;4;0;271265.8;90526.62155;90;1.769
ΔΗΜΟΣ ΛΑΓΚΑΔΑ;9;312;27396;2951;248;2;0;109026.29;190.4529489;36;1.798
ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ;9;446;8857;5749;1461;4;0;212403.05;2915.562268;58;1.758
ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ;9;0;5584;7958;3702;4;0;294002.2;26385.32801;93;1.828
ΔΗΜΟΣ ΠΡΕΒΕΖΑΣ;9;3197;7163;2806;553;2;2;130275.99;567.7053096;25;1.829
ΔΗΜΟΣ ΖΗΡΟΥ;6;0;18890;1187;75;2;0;55120.496;240.1598554;13;1.859
ΔΗΜΟΣ ΠΑΡΓΑΣ;6;2725;4574;978;31;2;1;45421.383;274.16;13;1.919
ΔΗΜΟΣ ΑΜΥΝΤΑΙΟΥ;6;172;83979;987;83;2;0;67926.05;136.0012784;14;1.840
ΔΗΜΟΣ ΠΡΕΣΠΩΝ;2;63;128005;84;0;2;0;5782.554;13.23463883;1;1.839
ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ;2;201;12842;3193;72;4;0;117972.61;1156.335573;38;1.768
ΔΗΜΟΣ ΒΕΡΟΙΑΣ;2;966;33738;4269;2008;2;0;182526.1;435.4046281;55;1.805
ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ;1;320;19209;2384;75;2;0;88083.91;480.527433;29;1.786
ΔΗΜΟΣ ΗΡΩΙΚΗΣ ΠΟΛΕΩΣ ΝΑΟΥΣΑΣ;3;453;48939;2040;844;2;0;87254.56;389.5083711;27;1.859
ΔΗΜΟΣ ΚΙΛΚΙΣ;3;776;43798;7482;1030;2;0;133780.12;333.4091022;37;1.799
ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ;3;195;48842;4138;138;2;0;73990.95;320.8527721;26;1.790
ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ;8;1667;73111;1845;304;2;0;73299.83;149.7731905;24;1.798
ΔΗΜΟΣ ΠΕΛΛΑΣ;8;195;38487;4215;1046;2;0;167392.06;504.004638;57;1.775
ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ;5;11446;18755;6808;2796;3;0;244012.2;783.4289018;74;1.769
ΔΗΜΟΣ ΕΔΕΣΣΑΣ;5;907;66762;1949;1203;2;0;77452.42;255.1985423;24;1.829
ΔΗΜΟΣ ΣΚΥΔΡΑΣ;5;0;51644;1338;154;2;0;53172.08;447.0963802;18;1.789
ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ;2;8902;6365;1967;269;2;0;70535.35;311.6558263;21;1.799
ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ;1;266;6244;1027;11;2;0;36852.84;237.4238833;13;1.847
ΔΗΜΟΣ ΣΕΡΡΩΝ;1;1613;44628;5145;2052;3;1;217179.11;694.15818;67;1.748
